id,room_type,n_beds,n_baths,is_bath_shared,bnb_house
177,3 bedrooms,3,1,False,59121
178,1 bedroom,1,1,False,148201
179,2 bedrooms,2,1,False,59709
180,3 bedrooms,3,1,False,60164
181,2 bedrooms,2,1,False,148825
182,1 bedroom,1,1,False,60181
183,2 bedrooms,2,2,False,150804
184,1 bedroom,1,1,False,60457
185,1 bedroom,1,1,False,60611
186,1 bedroom,1,1,False,150989
187,1 bedroom,1,1,False,157673
188,1 bedroom,1,1,False,239899
189,1 bedroom,1,1,False,158061
190,1 bedroom,1,1,False,245574
191,1 bedroom,1,1,False,158176
192,1 bedroom,1,,True,159913
193,1 bedroom,1,1,False,246351
194,1 bedroom,1,1,False,248865
195,3 bedrooms,3,2.5,False,162493
196,1 bedroom,1,,False,163814
197,1 bedroom,1,1,False,249414
198,1 bedroom,1,1,False,249618
199,2 bedrooms,2,1,False,166006
200,1 bedroom,1,1,False,249704
201,1 bedroom,1,1,False,249867
202,1 bedroom,1,,True,166172
203,3 bedrooms,3,2,False,166983
204,1 bedroom,1,1,False,250323
205,1 bedroom,1,,False,250536
206,1 bedroom,1,1,False,168123
207,2 bedrooms,2,2,False,250537
208,1 bedroom,1,,True,169306
209,2 bedrooms,2,2,False,251277
210,1 bedroom,1,1,False,169483
211,2 bedrooms,2,,True,252865
212,1 bedroom,1,1,False,253466
213,1 bedroom,1,1,False,170420
214,1 bedroom,1,1,False,253471
215,1 bedroom,1,,True,170761
216,1 bedroom,1,1,False,253475
217,1 bedroom,1,,False,253590
218,Studio,2,1,False,171562
219,1 bedroom,1,,False,173151
220,1 bedroom,1,1,False,253800
221,1 bedroom,1,1,False,253803
222,2 bedrooms,2,2.5,False,174966
223,1 bedroom,1,1,False,253806
224,1 bedroom,1,1,False,253811
225,1 bedroom,1,1,False,253815
226,1 bedroom,1,,False,253828
227,2 bedrooms,2,1,False,175470
228,1 bedroom,1,,False,253839
229,1 bedroom,1,1,False,176135
230,1 bedroom,1,,False,253842
231,1 bedroom,1,,False,253846
232,2 bedrooms,2,1.5,False,177495
233,2 bedrooms,2,,False,254168
234,1 bedroom,1,0,False,254409
235,1 bedroom,1,,False,177606
236,2 bedrooms,2,1,False,179741
237,2 bedrooms,2,1,False,182069
238,1 bedroom,1,1,False,182177
239,2 bedrooms,2,2,False,255476
240,2 bedrooms,2,1,False,255601
241,2 bedrooms,2,1.5,False,187986
242,2 bedrooms,2,2,False,255957
243,1 bedroom,1,1,False,188674
244,1 bedroom,1,,True,188803
245,2 bedrooms,2,1,False,257097
246,2 bedrooms,2,,False,189181
247,2 bedrooms,2,1,False,258688
248,1 bedroom,1,,True,189732
249,2 bedrooms,2,1,False,258690
250,1 bedroom,1,,True,258740
251,1 bedroom,1,1,False,189787
252,1 bedroom,1,1,False,258930
253,1 bedroom,1,1,False,190968
254,1 bedroom,1,1,False,260755
255,1 bedroom,1,1,False,190974
256,2 bedrooms,2,1,False,261674
257,2 bedrooms,2,2,False,261781
258,1 bedroom,1,,True,195123
259,1 bedroom,1,,True,195240
260,1 bedroom,1,1,False,262405
261,1 bedroom,1,,True,262478
262,1 bedroom,1,,False,197942
263,2 bedrooms,2,1,False,262583
264,1 bedroom,1,1,False,198478
265,3 bedrooms,3,1,False,263005
266,Studio,1,1,False,199733
267,1 bedroom,1,1,False,263232
268,1 bedroom,1,1,False,201514
269,1 bedroom,1,1,False,263502
270,1 bedroom,1,1,False,201992
271,1 bedroom,1,1,False,263888
272,1 bedroom,1,1,False,202273
273,Studio,1,1,False,265145
274,1 bedroom,1,1,False,203901
275,2 bedrooms,2,1,False,265506
276,2 bedrooms,2,1,False,204065
277,2 bedrooms,2,1,False,266449
278,2 bedrooms,2,1,False,266753
279,1 bedroom,1,1,False,205867
280,Studio,2,1,False,206316
281,1 bedroom,1,,True,267435
282,1 bedroom,1,,False,206957
283,1 bedroom,1,,True,267652
284,1 bedroom,1,1,False,208148
285,1 bedroom,1,1,False,268335
286,2 bedrooms,2,1,False,208889
287,1 bedroom,1,1,False,268439
288,1 bedroom,1,,True,209310
289,2 bedrooms,2,2,False,268481
290,2 bedrooms,2,,True,212109
291,1 bedroom,1,1,False,269283
292,1 bedroom,1,1.5,False,212544
293,1 bedroom,1,1,False,269404
294,1 bedroom,1,2,False,213330
295,2 bedrooms,2,,True,270139
296,1 bedroom,1,,True,270231
297,1 bedroom,1,1,False,214917
298,1 bedroom,1,,False,216080
299,1 bedroom,1,,True,270315
300,1 bedroom,1,1,False,219066
301,1 bedroom,1,1,False,271694
302,1 bedroom,1,,True,219922
303,1 bedroom,1,1,False,272026
304,1 bedroom,1,1,False,272044
305,1 bedroom,1,1,False,220563
306,1 bedroom,1,1,False,222304
307,1 bedroom,1,1,False,274329
308,2 bedrooms,2,1,False,222913
309,Studio,1,1,False,274743
310,1 bedroom,1,1,False,223930
311,1 bedroom,1,1,False,274995
312,1 bedroom,1,1,False,225354
313,1 bedroom,1,1,False,225976
314,2 bedrooms,2,1,False,275976
315,2 bedrooms,2,1,False,226021
316,2 bedrooms,2,2,False,276021
317,1 bedroom,1,1,False,227495
318,3 bedrooms,3,2,False,276317
319,2 bedrooms,2,1,False,227715
320,1 bedroom,1,1,False,228317
321,1 bedroom,1,1,False,278090
322,1 bedroom,1,,True,278145
323,1 bedroom,1,1,False,228925
324,1 bedroom,1,,True,278876
325,1 bedroom,1,1,False,230877
326,1 bedroom,1,,False,231154
327,8 bedrooms,8,4,False,279857
328,1 bedroom,1,,False,232612
329,2 bedrooms,2,1,False,281521
330,2 bedrooms,2,1,False,281756
331,1 bedroom,1,1,False,232775
332,1 bedroom,1,1,False,233638
333,1 bedroom,1,,True,281851
334,3 bedrooms,3,2,False,235552
335,1 bedroom,1,1,False,282443
336,1 bedroom,1,,True,235651
337,1 bedroom,1,1,False,283550
338,1 bedroom,1,1,False,235951
339,Studio,1,1,False,286662
