,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
3788,70539,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,34,,A5,"962 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2370.0,1426.0,2022.0,1,A5,799326,2023-06-05,"40.58913039999999,-74.14962609999999"
3789,70540,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,35,,A5,"960 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2360.0,1426.0,2022.0,1,A5,799326,2023-05-11,"40.5890734,-74.1495259"
3790,70541,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,36,,A5,"958 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2395.0,1426.0,2022.0,1,A5,804418,2023-07-05,"40.5891756,-74.1491705"
3791,70542,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,37,,A5,"956 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2384.0,1426.0,2022.0,1,A5,794235,2023-05-02,"40.5891756,-74.1491705"
3792,70543,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,38,,A5,"954 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2411.0,1426.0,2022.0,1,A5,799326,2023-08-08,"40.5891756,-74.1491705"
3793,70544,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,39,,A5,"952 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2364.0,1426.0,2022.0,1,A5,799326,2023-08-09,"40.5889258,-74.14924189999999"
3794,70545,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,41,,A5,"950 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2354.0,1426.0,2022.0,1,A5,809509,2023-07-07,"40.58891860000001,-74.1492507"
3795,70546,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2375,42,,A1,"948 ROCKLAND AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2343.0,1426.0,2022.0,1,A1,804418,2023-07-27,"40.5890061,-74.14894559999999"
3796,70547,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2376,1,,A5,"495 TRAVIS AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3000.0,2364.0,1984.0,1,A5,10,2022-12-05,"40.590572,-74.1573815"
3797,70548,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2376,20,,A5,"163 KEATING PLACE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2731.0,2049.0,1983.0,1,A5,705000,2023-05-09,"40.5912501,-74.15655579999999"
3798,70549,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2376,37,,A5,"129 KEATING PLACE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2725.0,2049.0,1984.0,1,A5,0,2023-07-31,"40.59193010000001,-74.1560099"
3799,70550,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2376,43,,A5,"117 KEATING PLACE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2534.0,2049.0,1984.0,1,A5,755000,2023-05-09,"40.59204,-74.155699"
3800,70551,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2376,124,,A5,"241 MONAHAN AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2552.0,1452.0,1980.0,1,A5,728000,2023-08-15,"40.5910336,-74.1535627"
3801,70552,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2377,13,,A5,"163 BRAISTED AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2500.0,1296.0,1980.0,1,A5,760000,2023-11-07,"40.5903606,-74.1539411"
3802,70553,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2377,27,,A5,"199 BRAISTED AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2500.0,1296.0,1980.0,1,A5,0,2023-06-01,"40.5908443,-74.15476679999999"
3803,70554,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2378,14,,A5,"163 MC VEIGH AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2400.0,1274.0,1980.0,1,A5,688000,2023-08-07,"40.5897827,-74.15451449999999"
