id,price,minimum_nights,rent
398,67,30,398
399,52,30,399
400,75,30,400
401,75,30,401
402,101,30,402
403,150,2,403
404,110,30,404
405,189,30,405
406,80,30,406
407,74,30,407
408,157,30,408
409,279,30,409
410,99,30,410
411,200,30,411
412,110,30,412
413,189,30,413
414,135,30,414
415,90,30,415
416,232,30,416
417,240,30,417
418,275,30,418
419,59,30,419
420,204,30,420
421,250,30,421
422,65,30,422
423,160,30,423
424,99,30,424
425,239,30,425
426,140,30,426
427,162,30,427
428,139,30,428
429,311,30,429
430,227,30,430
431,232,30,431
432,315,30,432
433,134,30,433
434,125,30,434
435,100,30,435
436,109,30,436
437,304,30,437
438,200,30,438
439,120,30,439
440,150,30,440
441,100,30,441
442,129,4,442
443,87,30,443
444,280,30,444
445,65,30,445
446,70,30,446
447,103,30,447
448,143,150,448
449,295,30,449
450,175,30,450
451,200,30,451
452,311,50,452
453,319,30,453
454,39,30,454
455,83,30,455
456,100,30,456
457,125,30,457
458,70,90,458
459,63,30,459
460,65,30,460
461,500,30,461
462,500,30,462
463,145,30,463
464,134,30,464
465,80,30,465
466,180,30,466
467,45,30,467
468,210,30,468
469,207,30,469
470,150,30,470
471,110,31,471
472,125,30,472
473,66,30,473
474,50,30,474
475,49,30,475
476,70,30,476
477,375,30,477
478,151,30,478
479,240,30,479
480,120,30,480
481,105,30,481
482,250,30,482
483,185,31,483
484,99,30,484
485,75,30,485
486,499,30,486
487,51,30,487
488,126,30,488
489,75,30,489
490,285,30,490
491,135,30,491
492,126,30,492
493,250,30,493
494,125,30,494
495,130,30,495
496,75,30,496
497,175,30,497
498,111,30,498
499,300,30,499
500,749,30,500
501,108,30,501
502,129,30,502
503,145,30,503
504,190,30,504
505,415,30,505
506,375,30,506
507,75,30,507
508,119,30,508
509,180,30,509
510,68,30,510
511,175,30,511
512,225,30,512
513,304,30,513
514,84,30,514
515,125,30,515
516,80,30,516
517,84,30,517
518,385,30,518
519,110,30,519
520,150,30,520
521,49,30,521
522,160,30,522
523,70,30,523
524,110,30,524
525,245,30,525
526,199,30,526
527,79,30,527
528,85,30,528
529,100,2,529
530,160,30,530
531,90,30,531
532,164,30,532
533,509,30,533
534,88,30,534
535,132,30,535
536,200,30,536
537,2000,30,537
538,69,30,538
539,88,30,539
540,130,30,540
541,155,30,541
542,59,30,542
543,207,30,543
544,180,30,544
545,266,30,545
546,105,30,546
547,175,30,547
548,115,30,548
549,96,30,549
550,1000,30,550
551,105,30,551
552,160,30,552
553,150,30,553
554,115,30,554
555,110,31,555
556,559,30,556
557,255,30,557
558,110,30,558
559,150,30,559
560,150,30,560
561,89,30,561
562,375,30,562
563,43,30,563
564,375,30,564
565,257,2,565
566,200,30,566
567,99,30,567
568,154,30,568
569,130,30,569
570,77,30,570
571,71,30,571
572,218,30,572
573,111,30,573
574,325,30,574
575,130,30,575
576,125,30,576
577,120,30,577
578,286,30,578
579,120,30,579
580,105,30,580
581,100,30,581
582,200,30,582
583,150,30,583
584,76,30,584
585,135,30,585
586,199,30,586
587,199,30,587
588,625,30,588
589,90,30,589
590,135,30,590
591,58,30,591
592,99,30,592
593,60,30,593
594,83,30,594
595,200,30,595
596,399,30,596
597,99,30,597
598,185,30,598
599,74,30,599
600,456,30,600
601,118,30,601
602,307,30,602
603,220,3,603
604,2500,30,604
605,135,30,605
606,220,31,606
607,75,30,607
608,145,30,608
609,114,30,609
610,240,30,610
611,211,31,611
612,197,30,612
613,98,30,613
614,200,60,614
615,200,30,615
616,40,30,616
617,150,31,617
618,61,30,618
619,40,30,619
620,90,90,620
621,137,30,621
622,270,30,622
623,115,370,623
624,109,30,624
625,53,30,625
626,133,30,626
627,159,30,627
628,149,30,628
629,169,30,629
630,100,30,630
631,102,30,631
632,355,30,632
633,85,30,633
634,149,30,634
635,20,30,635
636,157,30,636
637,125,30,637
638,550,30,638
639,165,30,639
640,300,30,640
641,85,30,641
642,125,30,642
643,282,30,643
644,120,30,644
645,160,30,645
646,69,365,646
647,59,30,647
648,120,60,648
649,160,30,649
650,200,30,650
651,130,30,651
652,77,30,652
653,48,30,653
654,95,30,654
655,126,30,655
656,208,30,656
657,68,30,657
658,79,30,658
659,80,30,659
660,200,31,660
661,999,30,661
662,249,30,662
663,229,30,663
664,100,30,664
665,220,30,665
666,300,30,666
667,70,30,667
668,68,30,668
669,311,30,669
670,120,30,670
671,199,30,671
672,120,30,672
673,156,30,673
674,100,30,674
675,95,30,675
676,95,30,676
677,95,30,677
678,180,30,678
679,50,30,679
680,174,30,680
681,155,30,681
682,400,30,682
683,90,30,683
684,149,30,684
685,204,30,685
686,239,30,686
687,359,30,687
688,125,30,688
689,345,1,689
690,125,30,690
691,359,1,691
692,400,30,692
693,250,30,693
694,109,30,694
695,142,30,695
696,85,30,696
697,155,181,697
698,200,30,698
699,54,30,699
700,120,30,700
701,216,30,701
702,60,30,702
703,227,30,703
704,250,30,704
705,100,30,705
706,165,30,706
707,210,30,707
708,75,30,708
709,160,30,709
710,175,30,710
711,89,30,711
712,101,30,712
713,67,30,713
714,160,30,714
715,109,30,715
716,214,30,716
717,200,30,717
718,325,30,718
719,80,30,719
720,168,30,720
721,500,30,721
722,82,30,722
723,119,30,723
724,108,30,724
725,150,3,725
726,110,30,726
727,99,30,727
728,110,30,728
729,60,30,729
730,43,30,730
731,99,30,731
732,55,30,732
733,103,30,733
734,95,30,734
735,500,30,735
736,55,30,736
737,85,30,737
738,121,30,738
739,133,30,739
740,108,30,740
741,90,30,741
742,225,30,742
