,id,name,availability_rate_365,rate,number_of_reviews,latitude,longitude,host
80,31902,Home in Brooklyn,0.0,4.33,4,40.6327,-73.93184,137292
81,31994,Rental unit in Brooklyn,0.96,4.52,557,40.68818,-73.96383,137814
82,75658,Loft in Brooklyn,0.98,4.58,20,40.695588790857855,-73.95461923691613,401921
83,32037,Condo in Brooklyn,1.0,4.84,92,40.68513,-73.96648,116599
84,77765,Boutique hotel in Brooklyn,0.97,4.83,55,40.73777,-73.95366,417504
85,79067,Townhouse in Brooklyn,0.57,4.73,11,40.68337,-73.96253,425506
86,33009,Rental unit in Brooklyn,0.36,4.96,294,40.71512,-73.95899,143027
87,33156,Rental unit in New York,0.34,5.0,19,40.78763,-73.96862,128669
88,80493,Rental unit in New York,0.33,4.41,231,40.722599029541016,-73.9854507446289,434987
89,80684,Boutique hotel in Brooklyn,0.0,5.0,10,40.73756,-73.9535,417504
90,34760,Townhouse in Brooklyn,0.08,5.0,31,40.69101,-73.97378,149929
91,80700,Boutique hotel in Brooklyn,0.0,4.70,10,40.73777,-73.95366,417504
92,80924,Townhouse in Brooklyn,0.17,4.86,36,40.67407,-73.98105,438133
93,81564,Rental unit in Queens,1.0,4.12,112,40.75054,-73.86222,442605
94,36121,Rental unit in Brooklyn,0.99,4.88,9,40.67376,-73.96611,62165
95,81739,Boutique hotel in Brooklyn,0.0,0.00,2,40.73777,-73.95366,417504
96,82638,Rental unit in New York,0.93,4.79,280,40.72408,-73.98154,449787
97,82928,Townhouse in Brooklyn,0.87,4.91,78,40.68433,-73.94469,451545
98,83243,Rental unit in Brooklyn,0.95,4.43,247,40.68769,-73.91788,453519
99,38663,Home in Brooklyn,0.72,4.70,43,40.68442,-73.98068,165789
100,83474,Bed and breakfast in Brooklyn,0.96,5.0,5,40.69132,-73.98573,260682
101,84010,Boutique hotel in Brooklyn,0.95,4.89,28,40.73777,-73.95366,417504
102,38833,Rental unit in New York,0.32,4.83,183,40.8180576,-73.9466707,166532
103,89427,Rental unit in Brooklyn,0.98,0.00,0,40.68513,-73.96648,116599
104,89621,Rental unit in Brooklyn,1.0,4.45,241,40.67823,-73.94719,209460
105,92242,Rental unit in New York,0.13,4.47,81,40.71974,-73.98393,496426
106,39282,Rental unit in Brooklyn,0.14,4.82,260,40.71065139770508,-73.95087432861328,168525
107,93313,Loft in Brooklyn,0.95,4.72,171,40.68413,-73.93817,25183
108,94783,Rental unit in Brooklyn,0.9,4.87,148,40.6736,-73.9551,473113
109,39572,Rental unit in New York,1.0,4.86,44,40.76203,-73.98869,169927
110,96471,Condo in Brooklyn,1.0,5.0,11,40.68513,-73.96648,116599
111,39593,Condo in Long Island City,0.58,4.93,32,40.74523,-73.92318,110506
112,98663,Rental unit in New York,0.83,4.81,18,40.75077,-73.99657,520279
113,39704,Townhouse in Brooklyn,0.0,4.71,337,40.68216,-73.94594,170510
114,100186,Rental unit in Brooklyn,0.12,4.94,119,40.66952,-73.99201,526805
115,100368,Rental unit in New York,0.82,4.80,38,40.74056,-74.00143,526105
116,42300,Loft in New York,0.8,4.80,69,40.71992,-73.99167,184755
117,101053,Rental unit in Brooklyn,0.0,4.90,36,40.71116,-73.95484,530032
118,103161,Rental unit in Brooklyn,0.83,4.79,142,40.71551,-73.96274,465278
119,103311,Boutique hotel in Brooklyn,0.0,4.17,8,40.73778,-73.95366,417504
120,105469,Rental unit in Rockaway Beach,0.25,4.93,16,40.58603,-73.8145,547386
121,42882,Rental unit in Staten Island,0.7,4.81,187,40.64633,-74.08156,185978
122,106363,Rental unit in New York,0.54,4.86,466,40.82772,-73.95284,551055
123,43105,Rental unit in New York,0.42,5.0,4,40.7449,-73.98499,188082
124,106906,Condo in Brooklyn,0.32,4.90,12,40.68615,-73.96769,553964
125,107630,Home in Brooklyn,0.45,4.76,351,40.72741,-73.95466,306739
126,112304,Rental unit in New York,0.0,0.00,1,40.8069,-73.95372,573316
127,44229,Home in Brooklyn,0.97,4.69,232,40.69287,-73.97108,181376
128,112435,Home in Brooklyn,1.0,4.62,177,40.69132,-73.97306,181376
129,113265,Rental unit in Brooklyn,1.0,4.75,274,40.67582,-73.9518,314582
130,44973,Rental unit in Brooklyn,0.57,4.64,124,40.70894,-73.95234,198411
131,115535,Rental unit in New York,0.29,4.76,34,40.82402,-73.95263,567187
132,115748,Rental unit in Long Island City,0.24,4.63,41,40.76406,-73.92266,585166
133,45542,Rental unit in New York,0.0,4.78,18,40.82569,-73.93842,202249
134,116551,Rental unit in New York,0.11,4.50,176,40.80384,-73.95123,497672
135,45737,Rental unit in New York,0.09,4.42,29,40.73948,-74.00504,203444
136,118061,Rental unit in Brooklyn,0.76,4.81,90,40.68462,-73.92895,2248897
137,45910,Townhouse in Queens,1.0,4.42,13,40.70309,-73.89963,204539
138,121687,Rental unit in Brooklyn,0.39,4.45,57,40.71983,-73.95992,262812
139,45935,Rental unit in Bronx,0.23,0.00,0,40.80635,-73.92201,204586
140,45936,Bed and breakfast in New York,0.45,4.66,133,40.8063,-73.95985,867225
141,125163,Home in Brooklyn,1.0,4.86,90,40.68595,-73.92923,622855
142,46544,Rental unit in Brooklyn,0.16,4.71,56,40.67979,-73.97978,8198
143,46911,Home in Brooklyn,0.68,4.70,69,40.68022,-73.97457,210746
144,49048,Home in Brooklyn,0.92,4.42,25,40.6829,-73.95701,35935
145,51438,Rental unit in New York,0.0,0.00,0,40.77449,-73.95308,236421
146,126816,Rental unit in New York,0.0,3.67,3,40.79907,-73.96517,620288
147,128975,Rental unit in New York,1.0,4.63,129,40.81127,-73.94561,256161
148,52689,Guest suite in Astoria,0.25,4.97,74,40.77868,-73.90652,244071
149,53469,Guesthouse in Queens,1.0,4.34,33,40.71567,-73.87842,204539
150,133025,Rental unit in New York,0.61,4.85,145,40.74564,-73.97782,653405
151,53470,Rental unit in Queens,1.0,4.0,5,40.70422,-73.89778,204539
152,53477,Townhouse in Queens,1.0,4.71,16,40.71778,-73.87714,204539
153,134934,Rental unit in Brooklyn,0.0,4.58,26,40.71771,-73.95849,652842
154,54466,Rental unit in New York,1.0,0.00,0,40.80255,-73.95803,253385
155,54508,Guest suite in Brooklyn,0.75,4.75,172,40.67908,-73.97405,210746
156,135465,Rental unit in Brooklyn,0.7,4.81,133,40.68646,-73.97548,663879
157,54544,Rental unit in New York,0.96,4.65,142,40.81182,-73.94631,256161
158,54694,Home in Queens,0.0,4.35,62,40.67144,-73.76501,27848
159,55959,Rental unit in Brooklyn,0.16,4.83,101,40.71065,-73.95087,168525
160,136493,Townhouse in Brooklyn,0.0,4.86,42,40.67497,-73.97796,663384
161,55982,Rental unit in Brooklyn,0.0,4.73,42,40.68701,-73.97555,264928
162,139624,Rental unit in Brooklyn,0.07,4.38,82,40.67478,-73.95165,680818
163,56859,Rental unit in New York,0.24,4.67,272,40.81201,-73.94452,256161
164,140133,Rental unit in Brooklyn,0.58,4.93,188,40.71347,-73.96035,622866
165,57166,Rental unit in Astoria,0.97,4.87,158,40.772472,-73.906075,272006
166,141154,Rental unit in Brooklyn,0.25,4.71,255,40.6857,-73.98131,686768
167,57297,Rental unit in Brooklyn,0.47,4.68,292,40.69003,-73.99338,199392
168,141335,Home in Brooklyn,1.0,4.45,41,40.67487,-73.97637,687361
169,57618,Rental unit in New York,0.0,4.83,131,40.76505,-73.98716,274557
170,142069,Rental unit in New York,0.0,4.60,22,40.72506,-73.97906,277747
171,57874,Rental unit in New York,0.78,4.88,385,40.80747,-73.94076,276291
172,144087,Rental unit in New York,0.58,4.90,30,40.80687,-73.95333,616825
173,58059,Rental unit in New York,0.69,4.71,679,40.8238,-73.94444,277379
174,144148,Rental unit in New York,0.0,4.53,32,40.72297,-73.9851,299755
175,59014,Rental unit in New York,0.98,4.67,60,40.71946,-73.98641,282927
176,146726,Home in New York,0.76,4.75,18,40.80392,-73.94765,709334
177,59121,Rental unit in Queens,1.0,4.75,4,40.70271,-73.8993,204539
178,148201,Rental unit in New York,0.0,4.88,18,40.7304,-74.00228,715807
179,59709,Rental unit in New York,0.41,4.75,79,40.7178,-73.9932,186084
180,60164,Loft in New York,0.53,4.39,106,40.72012,-74.00397,289653
181,148825,Rental unit in New York,0.62,4.75,303,40.79999,-73.96338,718349
182,60181,Rental unit in New York,0.0,4.81,37,40.7253,-73.98028,128806
183,150804,Rental unit in New York,0.48,4.98,58,40.7203,-73.98424,726333
184,60457,Rental unit in New York,0.0,4.88,9,40.73072,-73.99275,99212
185,60611,Rental unit in New York,0.53,4.84,196,40.792667388916016,-73.946533203125,292204
186,150989,Rental unit in Brooklyn,0.0,4.95,19,40.71584,-73.96355,727084
187,157673,Loft in Brooklyn,0.99,4.44,92,40.68096,-73.94062,757166
188,239899,Rental unit in Brooklyn,0.0,5.0,6,40.66278,-73.95886,1258363
189,158061,Home in Brooklyn,1.0,4.54,27,40.68511,-73.91927,758441
190,245574,Rental unit in Brooklyn,0.94,4.63,271,40.68927,-73.95439,1288460
191,158176,Rental unit in Brooklyn,0.19,4.75,145,40.71596,-73.96017,573065
192,159913,Rental unit in New York,0.96,4.92,26,40.74389,-74.00068,759883
193,246351,Rental unit in New York,0.0,4.25,5,40.73693,-73.98129,1292250
194,248865,Rental unit in Brooklyn,0.97,4.74,35,40.73756,-73.9535,417504
195,162493,Townhouse in Brooklyn,0.86,4.98,55,40.71174,-73.95798,776490
196,163814,Townhouse in New York,0.95,4.17,457,40.72641,-73.98711,627217
197,249414,Rental unit in New York,0.0,4.83,6,40.73273,-74.00041,1306587
198,249618,Rental unit in New York,0.0,3.75,4,40.85099,-73.92822,1307773
199,166006,Rental unit in New York,0.34,4.63,187,40.79864,-73.96209,791287
200,249704,Condo in Brooklyn,0.82,4.75,24,40.71065,-73.94102,966806
201,249867,Home in Brooklyn,1.0,4.71,7,40.68532,-73.91881,758441
202,166172,Rental unit in Brooklyn,0.0,4.54,61,40.68478,-73.9066,792159
203,166983,Rental unit in Brooklyn,0.0,4.83,6,40.68194,-73.99708,795640
204,250323,Rental unit in New York,0.0,4.38,48,40.71643,-73.99931,1311870
205,250536,Condo in New York,1.0,5.0,11,40.81146,-73.94469,1313306
206,168123,Guest suite in Brooklyn,0.07,4.61,120,40.65891,-73.98556,720558
207,250537,Rental unit in New York,1.0,0.00,0,40.81128,-73.9433,1313306
208,169306,Home in Bronx,0.9,4.46,163,40.85981,-73.9063,806214
209,251277,Rental unit in New York,0.97,4.94,206,40.78615,-73.97394,1317343
210,169483,Rental unit in Brooklyn,0.0,0.00,0,40.60602,-73.97076,807642
211,252865,Rental unit in Brooklyn,0.0,4.80,5,40.67882,-73.97224,194457
212,253466,Rental unit in Brooklyn,0.97,4.81,48,40.73756,-73.9535,417504
213,170420,Rental unit in New York,0.0,5.0,15,40.79179,-73.93972,812814
