"sd_id","vis_id","avg_price_house_sales","sub_perimeter"
38,"38) Jackson Heights (QN) ","808000.00","0103000020E6100000010000000600000099DF4837447852C0F055DF058B604440EFCCBEAC3D7852C012E8E796CA6044408B4AEE91127852C03B6BA559C0604440943858C40B7852C020423B7C7B604440634E5D2B2F7852C0EEA0D23C6160444099DF4837447852C0F055DF058B604440"
57,"57) Jackson Heights (QN) ","937700.00","0103000020E6100000010000001700000016FE13B5FC7852C0DA12780B0B624440CCD818ECF47852C0B62D94B50F62444055341069E87852C00FEBF20A16624440207297A8E17852C0BB1C0D0B1D6244405B1A7B98DA7852C0965F0DD81F6244409694B8CDDA7852C097589326236244408EB6D1FADA7852C0D60A8B812562444002076FD4D17852C03D00909D2962444066FCFE90D07852C044398F402A624440FA666B2FD07852C0D90C67C427624440A50A60A4CF7852C0D1C95A8424624440D9B6E3F8CD7852C078487AC21962444004D6DFB0CD7852C029F931151862444091F7AD79CD7852C035D15AB6166244403CD21F56C67852C08AC7B569ED6144404671A013C67852C090A3FDF5EB6144403EE303E3C57852C0040289CEE9614440A18595A7C57852C0B7BB835BE7614440FAE2F6A1C17852C028C0C08DBB6144405603EA60ED7852C0E496A624AF6144408976ED7F007952C00673F2F0DA6144406BCF2008FF7852C0D26031DD0962444016FE13B5FC7852C0DA12780B0B624440"
101,"101) Jackson Heights (QN) ","952200.00","0103000020E61000000100000007000000950100884A7952C06D385633446144404DA8A15F497952C08779A46D736144405B6F1F3C287952C022EC88349261444055C8C39C127952C04B71161164614440FF97813E1B7952C0D61D77FC2A61444001B5446B337952C07F16FB941D614440950100884A7952C06D38563344614440"
9,"9) Jackson Heights (QN) ","983750.00","0103000020E61000000100000006000000F21D1E5D557952C0F0A567BD8260444058B579C8397952C0A7690B9E8B604440840BF9AE277952C0520C047A54604440133B52B7347952C049987ECE206044400075BD05687952C0BF21FDAB3D604440F21D1E5D557952C0F0A567BD82604440"
75,"75) Jackson Heights (QN) ","992000.00","0103000020E610000001000000060000009F84D9556C7852C0A2973F781B614440C1B96BD04A7852C05ABEFBB34B61444052025A2D337852C0262B95E91E6144403A123E853E7852C03BCB4482CD604440BD4FD64B687852C0BE79C71EE86044409F84D9556C7852C0A2973F781B614440"
58,"58) Jackson Heights (QN) ","1004400.00","0103000020E610000001000000070000009E7EDA08627952C02FB8769EDF60444042FF4E8A3C7952C076118304E360444082214B882F7952C09AC35AC5BA60444058B579C8397952C0A7690B9E8B604440F21D1E5D557952C0F0A567BD8260444072A3C3156C7952C08AB52AA9C26044409E7EDA08627952C02FB8769EDF604440"
132,"132) Jackson Heights (QN) ","1007500.00","0103000020E6100000010000000700000055C8C39C127952C04B711611646144406793A035F67852C072605D8972614440DB8AB28BDF7852C08BC937B5446144402A6C6B02EA7852C04201126609614440EBF7FF0F057952C02AB2E82500614440FF97813E1B7952C0D61D77FC2A61444055C8C39C127952C04B71161164614440"
78,"78) Jackson Heights (QN) ","1025444.44","0103000020E610000001000000070000005B6F1F3C287952C022EC88349261444086D89901267952C082A90B59B46144408976ED7F007952C00673F2F0DA6144405603EA60ED7852C0E496A624AF6144406793A035F67852C072605D897261444055C8C39C127952C04B711611646144405B6F1F3C287952C022EC883492614440"
115,"115) Jackson Heights (QN) ","1066285.71","0103000020E6100000010000000700000001B5446B337952C07F16FB941D614440FF97813E1B7952C0D61D77FC2A614440EBF7FF0F057952C02AB2E82500614440DFC2A997107952C00F7F68A5C060444082214B882F7952C09AC35AC5BA60444042FF4E8A3C7952C076118304E360444001B5446B337952C07F16FB941D614440"
117,"117) Jackson Heights (QN) ","1078666.67","0103000020E6100000010000000700000082214B882F7952C09AC35AC5BA604440DFC2A997107952C00F7F68A5C0604440DFC82BA9FF7852C04CBDFD1398604440C6E69FC4077952C0A1A2E6E95D604440840BF9AE277952C0520C047A5460444058B579C8397952C0A7690B9E8B60444082214B882F7952C09AC35AC5BA604440"
129,"129) Jackson Heights (QN) ","1081466.67","0103000020E61000000100000007000000DB8AB28BDF7852C08BC937B544614440D41508E4C17852C0B60BAE2654614440644014DDA97852C063C2C99A006144405E5CCD69AB7852C0D1B28C42F1604440EFAF4EB5D67852C03AC6B0A9DC6044402A6C6B02EA7852C04201126609614440DB8AB28BDF7852C08BC937B544614440"
142,"142) Jackson Heights (QN) ","1121666.67","0103000020E61000000100000007000000943858C40B7852C020423B7C7B6044404CA1108F007852C0639F26846D6044402808C72BFB7752C096E2C3AE39604440D494A8C40E7852C01130B0690F60444019B5F773327852C08BE278B725604440634E5D2B2F7852C0EEA0D23C61604440943858C40B7852C020423B7C7B604440"
63,"63) Jackson Heights (QN) ","1121998.00","0103000020E61000000100000008000000644014DDA97852C063C2C99A0061444053E36701847852C04987C0B2376144409F84D9556C7852C0A2973F781B614440BD4FD64B687852C0BE79C71EE860444039CCB53D797852C02919FDE7C3604440BDF5FF48A27852C07E9A73A2D36044405E5CCD69AB7852C0D1B28C42F1604440644014DDA97852C063C2C99A00614440"
150,"150) Jackson Heights (QN) ","1159000.00","0103000020E61000000100000007000000EFAF4EB5D67852C03AC6B0A9DC6044405E5CCD69AB7852C0D1B28C42F1604440BDF5FF48A27852C07E9A73A2D36044407E7CF6E0AB7852C0B3324DC786604440662DDF2FC97852C0777AB7A67460444078E735A4DD7852C0C75E1081A7604440EFAF4EB5D67852C03AC6B0A9DC604440"
121,"121) Jackson Heights (QN) ","1160000.00","0103000020E6100000010000000700000073A9C4AE737852C0BA3AD52783604440DD90DDB5627852C0495E87357160444015C6AE385F7852C02946E56D26604440316A1D196E7852C05ECD1B630D604440C7A7E7B3947852C03DBB647227604440D92F0F90937852C0627212E65F60444073A9C4AE737852C0BA3AD52783604440"
94,"94) Prospect Heights (BK) ","1500000.00","0103000020E61000000100000006000000B4EFF2D7717D52C085EBEFF3615644406AEF4614777D52C0D88011964556444026C4A0AE797D52C08457032B3756444077DA4E62947D52C07F05F717495644407A090305947D52C07D29069470564440B4EFF2D7717D52C085EBEFF361564440"
138,"138) Prospect Heights (BK) ","1700000.00","0103000020E610000001000000070000008C0CA8AD237E52C07217AAC0225744408BE847AD177E52C09360102026574440278CFA490C7E52C0AF80EA3C0C5744406021BA6C167E52C01DE14B51DF564440F2D2B0682E7E52C0FE79B515FB564440D7AAB3FD2E7E52C0210E9B3B005744408C0CA8AD237E52C07217AAC022574440"
19,"19) Prospect Heights (BK) ","2400000.00","0103000020E61000000100000007000000F3780660DD7D52C04EB084B8CE5644401F35CC85D37D52C024E1F3ACF5564440DE30AA88C47D52C00095BC43F9564440475DA56DB87D52C02C176EB7E65644409A0E8618BA7D52C00CCF42E7B95644408A6C1F67D87D52C0A810D71BB9564440F3780660DD7D52C04EB084B8CE564440"
72,"72) Prospect Heights (BK) ","2787500.00","0103000020E61000000100000007000000002C10AFDD7D52C09C4DB93F9C56444008CFFDE6D07D52C01BCC56607A56444020AB6774D37D52C038A505E1615644406209F812E67D52C0236CF0C654564440A8527AF3F47D52C02B30AA3466564440D22DDE0AF17D52C0763E0F0992564440002C10AFDD7D52C09C4DB93F9C564440"
162,"162) Prospect Heights (BK) ","2810000.00","0103000020E61000000100000007000000BE6A3461337E52C023F199199456444033B50F253D7E52C0E426A4829B56444007FD388B357E52C06916BD61BE564440FFBB34641D7E52C0FBF84A29C15644401825314A167E52C06BAE0AF39056444017064B35187E52C009CEBFFD88564440BE6A3461337E52C023F1991994564440"
30,"30) Prospect Heights (BK) ","2924999.50","0103000020E6100000010000000700000041E941544C7E52C08428B343095744400FE11BBD427E52C0D3F1210815574440D7AAB3FD2E7E52C0210E9B3B00574440F2D2B0682E7E52C0FE79B515FB564440B8E980503A7E52C00E466B77D656444086835BEF4D7E52C0E46903D0E056444041E941544C7E52C08428B34309574440"
100,"100) Prospect Heights (BK) ","2995000.00","0103000020E61000000100000006000000E1081079F57D52C024C5A61F085744404B82352EDF7D52C006B6054B105744401F35CC85D37D52C024E1F3ACF5564440F3780660DD7D52C04EB084B8CE5644407DB89559F47D52C0FC346976D8564440E1081079F57D52C024C5A61F08574440"
91,"91) Prospect Heights (BK) ","3000000.00","0103000020E610000001000000090000002608BEC7A47D52C081A134C0775644407A090305947D52C07D2906947056444077DA4E62947D52C07F05F71749564440A3E3DBA59C7D52C0106049F8355644402044AEEDB07D52C0BE288A123C564440224472BDB57D52C06A4F6F23485644403DB3BFE0AE7D52C09ED4774E73564440875CE990A47D52C0CA7A49EE785644402608BEC7A47D52C081A134C077564440"
156,"156) Prospect Heights (BK) ","3505000.00","0103000020E61000000100000006000000E3B5C1E8157E52C0875EEBADDB5644406D0E4354FC7D52C064330BBFCA564440BC6FFFA0FC7D52C0AFDEF39FA55644401825314A167E52C06BAE0AF390564440FFBB34641D7E52C0FBF84A29C1564440E3B5C1E8157E52C0875EEBADDB564440"
133,"133) Prospect Heights (BK) ","3605400.00","0103000020E610000001000000080000006D0E4354FC7D52C064330BBFCA5644407DB89559F47D52C0FC346976D8564440F3780660DD7D52C04EB084B8CE5644408A6C1F67D87D52C0A810D71BB9564440002C10AFDD7D52C09C4DB93F9C564440D22DDE0AF17D52C0763E0F0992564440BC6FFFA0FC7D52C0AFDEF39FA55644406D0E4354FC7D52C064330BBFCA564440"
103,"103) Upper East Side-Lenox Hill-Roosevelt Island (MN) ","585000.00","0103000020E61000000100000008000000BB8610117B7D52C0EEC49D848A614440D00F87F5677D52C0B63DD9C9CD614440DA85A5255B7D52C0D35BDDCCCE614440588A3846467D52C04AEB225EA661444038E31337467D52C0503559BC9A6144401FC5C579607D52C0F50D5A756B614440C3922B67757D52C0B9849F7D73614440BB8610117B7D52C0EEC49D848A614440"
108,"108) Upper East Side-Lenox Hill-Roosevelt Island (MN) ","4150000.00","0103000020E61000000100000009000000F0B73038597D52C0FBD0C95AE262444045B13E0E547D52C00CDD3587F06244407CE0627E4C7D52C009E24952056344404482794E447D52C0897039B91B634440FDCA664C207D52C0DEF1F546FD624440A0B3C6A82C7D52C0C1BEA98BBF62444002EE177D417D52C084976654B462444080D738B75A7D52C00FDF743FDE624440F0B73038597D52C0FBD0C95AE2624440"
152,"152) Upper East Side-Lenox Hill-Roosevelt Island (MN) ","6633333.33","0103000020E610000001000000070000002A7856FC477D52C077C434737C62444002EE177D417D52C084976654B4624440A0B3C6A82C7D52C0C1BEA98BBF6244408C8D1065157D52C0DF2A814C926244405863029B247D52C0DBCE7E3A5A624440362C1224307D52C029D3032A566244402A7856FC477D52C077C434737C624440"
82,"82) Upper East Side-Lenox Hill-Roosevelt Island (MN) ","6642000.00","0103000020E610000001000000090000007CACA38DBE7D52C06D40419FCC614440A43E8E0EB77D52C086416F19E161444006362D9AAF7D52C045B6F4AAF5614440CCE4C8D1A97D52C0BA28F46D056244402481B4A6917D52C0D5AB5EE9E161444079F1791E977D52C055FECE8DA06144405CAF3CE8A17D52C02DD7AEAF966144403A9B28FCC27D52C08ED93082C06144407CACA38DBE7D52C06D40419FCC614440"
161,"161) Upper East Side-Lenox Hill-Roosevelt Island (MN) ","7600000.00","0103000020E61000000100000007000000976F27EF757D52C06CCB69D323624440E77B0EC3617D52C08C40D306346244406F07782B497D52C059FFF58212624440DA85A5255B7D52C0D35BDDCCCE614440D00F87F5677D52C0B63DD9C9CD6144406E0C7CFA7A7D52C0C7FB3395EF614440976F27EF757D52C06CCB69D323624440"
