"neighborhood","bnb_with_more_park"
"Astoria (East)-Woodside (North) (QN)","10"
"Woodside (QN)","9"
"West New Brighton-Silver Lake-Grymes Hill (SI)","9"
"Springfield Gardens (North)-Rochdale Village (QN)","9"
"East Elmhurst (QN)","9"
"Upper East Side-Carnegie Hill (MN)","9"
"Forest Hills (QN)","9"
"Springfield Gardens (South)-Brookville (QN)","8"
"East New York-City Line (BK)","8"
"Brownsville (BK)","8"
"Corona (QN)","8"
"Tompkinsville-Stapleton-Clifton-Fox Hills (SI)","7"
"South Williamsburg (BK)","7"
"Throgs Neck-Schuylerville (BX)","7"
"Mount Hope (BX)","7"
"Soundview-Clason Point (BX)","7"
"Sunset Park (West) (BK)","6"
"Far Rockaway-Bayswater (QN)","6"
"St. George-New Brighton (SI)","6"
"Rosedale (QN)","6"
"Flatbush (West)-Ditmas Park-Parkville (BK)","6"
"Long Island City-Hunters Point (QN)","6"
"Ridgewood (QN)","5"
"Inwood Hill Park (MN)","5"
"Mount Eden-Claremont (West) (BX)","5"
"North Corona (QN)","5"
"Ozone Park (QN)","5"
"Sheepshead Bay-Manhattan Beach-Gerritsen Beach (BK)","5"
"South Jamaica (QN)","5"
"Sunnyside (QN)","5"
"Flatlands (BK)","4"
"University Heights (North)-Fordham (BX)","4"
"South Ozone Park (QN)","4"
"Castle Hill-Unionport (BX)","4"
"Norwood (BX)","4"
"Melrose (BX)","4"
"Rosebank-Shore Acres-Park Hill (SI)","4"
"Morrisania (BX)","4"
"Elmhurst (QN)","4"
"Sunset Park (Central) (BK)","4"
"Madison (BK)","4"
"Coney Island-Sea Gate (BK)","4"
"East Flatbush-Farragut (BK)","4"
"Kingsbridge-Marble Hill (BX)","4"
"Tremont (BX)","4"
"East Flatbush-Remsen Village (BK)","3"
"Spring Creek-Starrett City (BK)","3"
"College Point (QN)","3"
"Pelham Gardens (BX)","3"
"Brighton Beach (BK)","3"
"Jamaica Hills-Briarwood (QN)","3"
"Bedford Park (BX)","3"
"Murray Hill-Broadway Flushing (QN)","3"
"Riverdale-Spuyten Duyvil (BX)","3"
"Eastchester-Edenwald-Baychester (BX)","3"
"Maspeth (QN)","3"
"Howard Beach-Lindenwood (QN)","3"
"Bath Beach (BK)","2"
"Pelham Bay-Country Club-City Island (BX)","2"
"Richmond Hill (QN)","2"
"Allerton (BX)","2"
"Soundview-Bruckner-Bronx River (BX)","2"
"Laurelton (QN)","2"
"Whitestone-Beechhurst (QN)","2"
"Longwood (BX)","2"
"Pelham Parkway-Van Nest (BX)","2"
"Marine Park-Mill Basin-Bergen Beach (BK)","2"
"Hollis (QN)","2"
"Belmont (BX)","2"
"Annadale-Huguenot-Prince's Bay-Woodrow (SI)","2"
"Douglaston-Little Neck (QN)","2"
"Glendale (QN)","2"
"East Flatbush-Erasmus (BK)","2"
"Kew Gardens Hills (QN)","1"
"Kew Gardens (QN)","1"
"Mapleton-Midwood (West) (BK)","1"
"Mariner's Harbor-Arlington-Graniteville (SI)","1"
"Middle Village (QN)","1"
"Jamaica (QN)","1"
"Morris Park (BX)","1"
"Mount Hebron & Cedar Grove Cemeteries (QN)","1"
"Highbridge Park (MN)","1"
"Highbridge (BX)","1"
"Williamsbridge-Olinville (BX)","1"
"Gravesend (West) (BK)","1"
"Gravesend (South) (BK)","1"
"Auburndale (QN)","1"
"Gravesend (East)-Homecrest (BK)","1"
"Pomonok-Electchester-Hillcrest (QN)","1"
"Grasmere-Arrochar-South Beach-Dongan Hills (SI)","1"
"Fordham Heights (BX)","1"
"Astoria Park (QN)","1"
"East Flatbush-Rugby (BK)","1"
"Woodhaven (QN)","1"
"Dyker Heights (BK)","1"
"Stuyvesant Town-Peter Cooper Village (MN)","1"
"Crotona Park East (BX)","1"
"Tottenville-Charleston (SI)","1"
"Claremont Village-Claremont (East) (BX)","1"
"University Heights (South)-Morris Heights (BX)","1"
"Claremont Park (BX)","1"
"Canarsie Park & Pier (BK)","1"
"Bellerose (QN)","1"
"Bayside (QN)","1"
"Bay Terrace-Clearview (QN)","1"
"Westchester Square (BX)","1"
"Westerleigh-Castleton Corners (SI)","1"
"Kingsbridge Heights-Van Cortlandt Village (BX)","1"
"Kissena Park (QN)","1"
