"neighborhood","bnb_with_more_park"
"Bedford-Stuyvesant (East) (BK)","224"
"Bedford-Stuyvesant (West) (BK)","176"
"Williamsburg (BK)","155"
"Harlem (South) (MN)","119"
"East Village (MN)","107"
"Harlem (North) (MN)","105"
"East Williamsburg (BK)","84"
"Crown Heights (North) (BK)","81"
"East Harlem (North) (MN)","81"
"Lower East Side (MN)","69"
"Hamilton Heights-Sugar Hill (MN)","67"
"Midtown South-Flatiron-Union Square (MN)","66"
"Bushwick (East) (BK)","64"
"Financial District-Battery Park City (MN)","63"
"Chinatown-Two Bridges (MN)","61"
"Chelsea-Hudson Yards (MN)","60"
"SoHo-Little Italy-Hudson Square (MN)","57"
"Carroll Gardens-Cobble Hill-Gowanus-Red Hook (BK)","57"
"Ocean Hill (BK)","54"
"East Harlem (South) (MN)","53"
"Park Slope (BK)","52"
"Washington Heights (South) (MN)","50"
"Astoria (Central) (QN)","49"
"Prospect Lefferts Gardens-Wingate (BK)","47"
"Upper West Side (Central) (MN)","47"
"Clinton Hill (BK)","47"
"Upper West Side-Manhattan Valley (MN)","45"
"Hell's Kitchen (MN)","43"
"Greenpoint (BK)","43"
"Fort Greene (BK)","40"
"Bushwick (West) (BK)","33"
"Downtown Brooklyn-DUMBO-Boerum Hill (BK)","33"
"Manhattanville-West Harlem (MN)","32"
"Prospect Heights (BK)","31"
"West Village (MN)","30"
"Washington Heights (North) (MN)","29"
"Midtown-Times Square (MN)","27"
"Queensboro Hill (QN)","27"
"Windsor Terrace-South Slope (BK)","26"
"East New York (North) (BK)","23"
"Murray Hill-Kips Bay (MN)","22"
"Canarsie (BK)","22"
"Bay Ridge (BK)","21"
"Baisley Park (QN)","21"
"Rockaway Beach-Arverne-Edgemere (QN)","20"
"Concourse-Concourse Village (BX)","20"
"Gramercy (MN)","18"
"Cypress Hills (BK)","18"
"Crown Heights (South) (BK)","17"
"Flushing-Willets Point (QN)","16"
"Inwood (MN)","16"
"Brooklyn Heights (BK)","16"
"East New York-New Lots (BK)","16"
"Morningside Heights (MN)","15"
"East Midtown-Turtle Bay (MN)","15"
"Greenwich Village (MN)","15"
"Old Astoria-Hallets Point (QN)","14"
"Upper West Side-Lincoln Square (MN)","14"
"Upper East Side-Yorkville (MN)","13"
"Flatbush (BK)","13"
"Upper East Side-Lenox Hill-Roosevelt Island (MN)","13"
"Queensbridge-Ravenswood-Dutch Kills (QN)","12"
"Tribeca-Civic Center (MN)","12"
"Jackson Heights (QN)","12"
"Mott Haven-Port Morris (BX)","11"
"Astoria (North)-Ditmars-Steinway (QN)","11"
"East Flushing (QN)","11"
"Kensington (BK)","10"
