BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15966,13,,A2,"460 BEACH 45TH, NYC, QUEENS",,11691.0,1.0,0.0,1.0,1825.0,1740.0,1930.0,1,A2,468300,2023-07-14,"40.5973651,-73.77658269999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,17,,A5,"434 BEACH 47TH STREET, NYC, QUEENS",,11691.0,1.0,0.0,1.0,2095.0,960.0,1940.0,1,A5,515000,2023-01-27,"40.5965437,-73.7782051"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,15969,67,,A2,"421 BEACH 46TH ST, NYC, QUEENS",,11691.0,1.0,0.0,1.0,2378.0,635.0,1940.0,1,A2,484000,2023-09-28,"40.5962575,-73.7776045"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,54,,A2,"65-12 ALMEDA AVENUE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2125.0,1428.0,1960.0,1,A2,431779,2023-02-21,"40.5972904,-73.79515909999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16026,54,,A2,"6512 ALMEDA AVENUE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2125.0,1428.0,1960.0,1,A2,342000,2023-10-27,"40.5972904,-73.79515909999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,7,,A9,"612 BEACH 69TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2725.0,1344.0,1960.0,1,A9,0,2023-02-23,"40.597294,-73.7983"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032,23,,A1,"548 BEACH 66TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,4000.0,2550.0,1950.0,1,A1,657200,2022-12-02,"40.5963608,-73.7952811"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,3,,A2,"506 BEACH 67TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,4000.0,1015.0,1930.0,1,A2,351354,2023-10-10,"40.5951947,-73.7960569"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16033,15,,A2,"532 BEACH 67TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,4000.0,1483.0,1940.0,1,A2,380000,2023-10-13,"40.5958475,-73.79612519999999"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16035,43,,A5,"558 BEACH 69TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,1500.0,1500.0,2004.0,1,A5,553000,2023-09-19,"40.5965177,-73.798226"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16037,36,,A9,"462 BEACH 64TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2550.0,2016.0,1940.0,1,A9,690000,2023-06-26,"40.59487379999999,-73.7932707"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,46,,A9,"453 BEACH 64TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2250.0,1530.0,1960.0,1,A9,0,2023-10-05,"40.5946159,-73.7937087"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,56,,A9,"433 BEACH 64TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2250.0,1530.0,1960.0,1,A9,0,2023-06-06,"40.59402860000001,-73.793627"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16047,45,,A1,"69-30 ALMEDA AVENUE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,2000.0,2176.0,1920.0,1,A1,525000,2023-02-22,"40.596956,-73.7997804"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,27,,A1,"567 BEACH 69TH STREET, NYC, QUEENS",,11692.0,1.0,0.0,1.0,4000.0,1828.0,1920.0,1,A1,749000,2023-02-28,"40.5967255,-73.7987809"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,12,,A2,"6929 BURCHELL AVE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,6000.0,1736.0,1955.0,1,A2,15000,2022-12-17,"40.5959292,-73.7997"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,12,,A2,"6929 BURCHELL AVE, NYC, QUEENS",,11692.0,1.0,0.0,1.0,6000.0,1736.0,1955.0,1,A2,300000,2023-03-19,"40.5959292,-73.7997"
