BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1682,39,,B3,"418 DECATUR STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,1760.0,1899.0,1,B3,0,2022-12-19,"40.6821063,-73.9263746"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,5,,B3,"432 DECATUR STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1476.0,2288.0,1899.0,1,B3,0,2022-12-01,"40.6821853,-73.9255719"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,5,,B3,"432 DECATUR STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1476.0,2288.0,1899.0,1,B3,2108000,2023-10-19,"40.6821853,-73.9255719"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,21,,B1,"456 DECATUR STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,2934.0,1899.0,1,B1,0,2023-02-01,"40.6822769,-73.9245846"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,22,,B2,"458 DECATUR STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,1848.0,1899.0,1,B2,1200000,2023-06-30,"40.6822747,-73.9245037"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,39,,B3,"484 DECATUR STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1875.0,2964.0,1899.0,1,B3,1425000,2023-01-05,"40.6824211,-73.9233346"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,71,,B3,"311 BAINBRIDGE STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,2048.0,1899.0,1,B3,0,2023-09-01,"40.6819991,-73.9242012"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1683,73,,B3,"307 BAINBRIDGE ST, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,2048.0,1899.0,1,B3,0,2023-05-09,"40.6819831,-73.92437369999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1685,70,,B9,"57 CHAUNCEY STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1900.0,2904.0,1899.0,1,B9,0,2023-10-15,"40.6801123,-73.9336744"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1685,72,,B1,"53 CHAUNCEY STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1900.0,2912.0,1899.0,1,B1,1,2023-11-09,"40.6800933,-73.93381219999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1686,9,,B3,"393 STUYVESANT AVENUE, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,3060.0,1899.0,1,B3,0,2022-12-16,"40.6807542,-73.931371"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1686,15,,B1,"152 BAINBRIDGE STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,3028.0,1899.0,1,B1,0,2023-05-18,"40.6807952,-73.93087299999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1686,20,,B1,"160 BAINBRIDGE STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2000.0,3650.0,1899.0,1,B1,0,2023-07-26,"40.6808461,-73.93055149999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1687,45,,B3,"274 BAINBRIDGE STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1892.0,2494.0,1899.0,1,B3,1200000,2023-04-25,"40.6813525,-73.9261641"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1695,51,,S2,"1799 FULTON STREET, NYC, BROOKLYN",,11233.0,2.0,1.0,3.0,2339.0,3750.0,1899.0,1,S2,0,2023-10-10,"40.6793537,-73.92728989999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1700,148,,B2,"603 HERKIMER STREET, NYC, BROOKLYN",,11213.0,2.0,0.0,2.0,2200.0,1450.0,1983.0,1,B2,0,2023-01-20,"40.6789709,-73.9333576"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1703,7,,S2,"1822 FULTON STREET, NYC, BROOKLYN",,11233.0,2.0,1.0,3.0,1540.0,2616.0,1901.0,1,S2,2000000,2023-07-13,"40.6789578,-73.9269233"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1705,45,,B3,"524 HERKIMER STREET, NYC, BROOKLYN",,11213.0,2.0,0.0,2.0,2000.0,2100.0,1899.0,1,B3,1975000,2023-10-11,"40.6787526,-73.9361467"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1705,53,,B9,"38 TROY AVENUE, NYC, BROOKLYN",,11213.0,2.0,0.0,2.0,2000.0,2925.0,1901.0,1,B9,1400000,2023-05-01,"40.6783455,-73.9360683"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1709,18,,B2,"798 HERKIMER STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,2162.0,3018.0,1901.0,1,B2,40000,2023-06-28,"40.67822,-73.9269279"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1710,41,,B3,"36 BUFFALO AVENUE, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1600.0,1776.0,1901.0,1,B3,850000,2023-05-05,"40.6777171,-73.9249944"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1712,34,,B3,"1851A ATLANTIC AVENUE, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1577.0,1680.0,1901.0,1,B3,0,2023-10-27,"40.6773216,-73.92412999999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1713,23,,B1,"924 HERKIMER STREET, NYC, BROOKLYN",,11233.0,2.0,0.0,2.0,1760.0,3145.0,2005.0,1,B1,0,2023-01-31,"40.6779697,-73.9229304"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1722,173,,B9,"137 HOPKINS STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1829.0,1944.0,1995.0,1,B9,0,2023-02-17,"40.69963,-73.9468972"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1726,122,,B9,"198 HOPKINS STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1983.0,1944.0,1994.0,1,B9,0,2023-10-09,"40.6994211,-73.94479919999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1726,131,,B9,"176 THROOP, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,2083.0,1944.0,1994.0,1,B9,0,2023-03-12,"40.6991398,-73.9444582"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1730,124,,B1,"126 ELLERY STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1983.0,1944.0,1992.0,1,B1,0,2023-07-18,"40.6982577,-73.94821189999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1731,140,,B1,"735 PARK AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1983.0,1944.0,1995.0,1,B1,0,2023-08-21,"40.7704142,-73.96421"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1732,111,,B9,"198 ELLERY STREET, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1983.0,1944.0,1993.0,1,B9,2100000,2023-07-12,"40.698664,-73.9448932"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1739,5,,S2,"527 MARCY AVENUE, NYC, BROOKLYN",,11206.0,2.0,1.0,3.0,2100.0,3600.0,1931.0,1,S2,2500000,2023-06-22,"40.69725030000001,-73.94943599999999"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1747,35,,S2,"905 MYRTLE AVENUE, NYC, BROOKLYN",,11206.0,2.0,1.0,3.0,1712.0,3972.0,1931.0,1,S2,0,2023-01-24,"40.6958731,-73.9465757"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1754,58,,B3,"55 VERNON AVENUE, NYC, BROOKLYN",,11206.0,2.0,0.0,2.0,1875.0,2139.0,1910.0,1,B3,2450000,2023-05-04,"40.6947342,-73.9498338"
